source_mat_id,sea_surf_temp,sea_surf_temp_method,ph,ph_method,sediment_temp,sediment_temp_method,redox_potential,redox_potential_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,chlorophyll,chlorophyll_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,diss_oxygen,diss_oxygen_method,magnesium,magnesium_method,methane,methane_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,oxy_stat_samp,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,particle_class,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,porosity,pressure,pressure_method,sea_surf_salinity,sea_surf_salinity_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,water_current,water_current_method
http://example.com/EMOBON_BPNS_So_210701_meio_1,16.848,CTD,7,Hanna Instruments 991001 ph meter,16.85,CTD,NA,NA,,,,,,,,,,,,,,,,,,,,7.49,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99965457685,CTD,33.088,CTD,,,,,,,,
http://example.com/EMOBON_BPNS_So_210701_meio_2,16.848,CTD,7,Hanna Instruments 991001 ph meter,16.85,CTD,NA,NA,,,,,,,,,,,,,,,,,,,,7.49,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99965457685,CTD,33.088,CTD,,,,,,,,
http://example.com/EMOBON_BPNS_So_210701_meio_3,16.848,CTD,7,Hanna Instruments 991001 ph meter,16.85,CTD,NA,NA,,,,,,,,,,,,,,,,,,,,7.49,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99965457685,CTD,33.088,CTD,,,,,,,,
http://example.com/EMOBON_BPNS_So_210701_meio_4,16.848,CTD,7,Hanna Instruments 991001 ph meter,16.85,CTD,NA,NA,,,,,,,,,,,,,,,,,,,,7.49,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99965457685,CTD,33.088,CTD,,,,,,,,
http://example.com/EMOBON_BPNS_So_210726_micro_1,NA,no CTD taken,NA,no pH measured,NA,no CTD taken,NA,NA,,,,,,,,,,,,,,,,,,,,NA,no CTD taken,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,no CTD taken,NA,no CTD taken,,,,,,,,
http://example.com/EMOBON_BPNS_So_210726_micro_2,NA,no CTD taken,NA,no pH measured,NA,no CTD taken,NA,NA,,,,,,,,,,,,,,,,,,,,NA,no CTD taken,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,no CTD taken,NA,no CTD taken,,,,,,,,
http://example.com/EMOBON_BPNS_So_210726_micro_3,NA,no CTD taken,NA,no pH measured,NA,no CTD taken,NA,NA,,,,,,,,,,,,,,,,,,,,NA,no CTD taken,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,no CTD taken,NA,no CTD taken,,,,,,,,
http://example.com/EMOBON_BPNS_So_210726_micro_4,NA,no CTD taken,NA,no pH measured,NA,no CTD taken,NA,NA,,,,,,,,,,,,,,,,,,,,NA,no CTD taken,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,no CTD taken,NA,no CTD taken,,,,,,,,
http://example.com/EMOBON_BPNS_So_210726_micro_blank,NA,no CTD taken,NA,no pH measured,NA,no CTD taken,NA,NA,,,,,,,,,,,,,,,,,,,,NA,no CTD taken,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,no CTD taken,NA,no CTD taken,,,,,,,,
http://example.com/EMOBON_BPNS_So_210726_micro_blank,NA,no CTD taken,NA,no pH measured,NA,no CTD taken,NA,NA,,,,,,,,,,,,,,,,,,,,NA,no CTD taken,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,no CTD taken,NA,no CTD taken,,,,,,,,
http://example.com/EMOBON_BPNS_So_210825_micro_1,18.919,CTD,NA,no pH measured,18.814,CTD,NA,NA,,,,,,,,,,,,,,,,,,,,7.19,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01100419442,CTD,33.348,CTD,,,,,,,,
http://example.com/EMOBON_BPNS_So_210825_micro_2,18.919,CTD,NA,no pH measured,18.814,CTD,NA,NA,,,,,,,,,,,,,,,,,,,,7.19,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01100419442,CTD,33.348,CTD,,,,,,,,
http://example.com/EMOBON_BPNS_So_210825_micro_3,18.919,CTD,NA,no pH measured,18.814,CTD,NA,NA,,,,,,,,,,,,,,,,,,,,7.19,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01100419442,CTD,33.348,CTD,,,,,,,,
http://example.com/EMOBON_BPNS_So_210825_micro_4,18.919,CTD,NA,no pH measured,18.814,CTD,NA,NA,,,,,,,,,,,,,,,,,,,,7.19,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01100419442,CTD,33.348,CTD,,,,,,,,
http://example.com/EMOBON_BPNS_So_210825_micro_blank,18.919,CTD,NA,no pH measured,18.814,CTD,NA,NA,,,,,,,,,,,,,,,,,,,,7.19,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01100419442,CTD,33.348,CTD,,,,,,,,
http://example.com/EMOBON_BPNS_So_210825_micro_blank,18.919,CTD,NA,no pH measured,18.814,CTD,NA,NA,,,,,,,,,,,,,,,,,,,,7.19,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01100419442,CTD,33.348,CTD,,,,,,,,
http://example.com/EMOBON_BPNS_So_211028_micro_1,14.097,CTD,7,Hanna Instruments 991001 ph meter,14.099,CTD,NA,NA,,,,,,,,,,,,,,,,,,,,8.14,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00014803849,CTD,33.855,CTD,,,,,,,,
http://example.com/EMOBON_BPNS_So_211028_micro_2,14.097,CTD,7,Hanna Instruments 991001 ph meter,14.099,CTD,NA,NA,,,,,,,,,,,,,,,,,,,,8.14,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00014803849,CTD,33.855,CTD,,,,,,,,
http://example.com/EMOBON_BPNS_So_211028_micro_3,14.097,CTD,7,Hanna Instruments 991001 ph meter,14.099,CTD,NA,NA,,,,,,,,,,,,,,,,,,,,8.14,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00014803849,CTD,33.855,CTD,,,,,,,,
http://example.com/EMOBON_BPNS_So_211028_micro_4,14.097,CTD,7,Hanna Instruments 991001 ph meter,14.099,CTD,NA,NA,,,,,,,,,,,,,,,,,,,,8.14,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00014803849,CTD,33.855,CTD,,,,,,,,
http://example.com/EMOBON_BPNS_So_211028_micro_blank,14.097,CTD,7,Hanna Instruments 991001 ph meter,14.099,CTD,NA,NA,,,,,,,,,,,,,,,,,,,,8.14,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00014803849,CTD,33.855,CTD,,,,,,,,
http://example.com/EMOBON_BPNS_So_211028_micro_blank,14.097,CTD,7,Hanna Instruments 991001 ph meter,14.099,CTD,NA,NA,,,,,,,,,,,,,,,,,,,,8.14,CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00014803849,CTD,33.855,CTD,,,,,,,,
